zip,type,primary_city,state,county,standard_timezone,place_timezone,area_codes,latitude,longitude
501,UNIQUE,Holtsville,NY,Suffolk County,EDT,America/New_York,631,40.81,-73.04
544,UNIQUE,Holtsville,NY,Suffolk County,EDT,America/New_York,631,40.81,-73.04
1001,STANDARD,Agawam,MA,Hampden County,EDT,America/New_York,"413, 860, 959",42.06,-72.61
1002,STANDARD,Amherst,MA,Hampshire County,EDT,America/New_York,"351, 413, 978",42.37,-72.52
1003,STANDARD,Amherst,MA,Hampshire County,EDT,America/New_York,413,42.39,-72.52
1004,PO BOX,Amherst,MA,Hampshire County,EDT,America/New_York,413,42.37,-72.52
1005,STANDARD,Barre,MA,Worcester County,EDT,America/New_York,"351, 413, 508, 774, 978",42.42,-72.1
1007,STANDARD,Belchertown,MA,Hampshire County,EDT,America/New_York,"351, 413, 978",42.27,-72.4
1008,STANDARD,Blandford,MA,Hampden County,EDT,America/New_York,413,42.18,-72.93
1009,PO BOX,Bondsville,MA,Hampden County,EDT,America/New_York,413,42.21,-72.34
1010,STANDARD,Brimfield,MA,Hampden County,EDT,America/New_York,"413, 508, 774",42.11,-72.2
1011,STANDARD,Chester,MA,Hampden County,EDT,America/New_York,413,42.28,-72.98
1012,STANDARD,Chesterfield,MA,Hampshire County,EDT,America/New_York,413,42.4,-72.85
1013,STANDARD,Chicopee,MA,Hampden County,EDT,America/New_York,413,42.15,-72.6
1014,PO BOX,Chicopee,MA,Hampden County,EDT,America/New_York,413,42.17,-72.57
1020,STANDARD,Chicopee,MA,Hampden County,EDT,America/New_York,413,42.17,-72.57
1021,PO BOX,Chicopee,MA,Hampden County,EDT,America/New_York,413,42.17,-72.57
1022,STANDARD,Chicopee,MA,Hampden County,EDT,America/New_York,413,42.2,-72.54
1026,STANDARD,Cummington,MA,Hampshire County,EDT,America/New_York,413,42.46,-72.9
1027,STANDARD,Easthampton,MA,Hampshire County,EDT,America/New_York,413,42.26,-72.68
1028,STANDARD,East Longmeadow,MA,Hampden County,EDT,America/New_York,413,42.06,-72.51
1029,PO BOX,East Otis,MA,Berkshire County,EDT,America/New_York,413,42.17,-73.03
1030,STANDARD,Feeding Hills,MA,Hampden County,EDT,America/New_York,"413, 860, 959",42.06,-72.67
1031,STANDARD,Gilbertville,MA,Worcester County,EDT,America/New_York,"413, 508, 774",42.33,-72.2
1032,STANDARD,Goshen,MA,Hampshire County,EDT,America/New_York,413,42.46,-72.81
1033,STANDARD,Granby,MA,Hampshire County,EDT,America/New_York,413,42.26,-72.52
1034,STANDARD,Granville,MA,Hampden County,EDT,America/New_York,"413, 860, 959",42.06,-72.86
1035,STANDARD,Hadley,MA,Hampshire County,EDT,America/New_York,413,42.35,-72.58
1036,STANDARD,Hampden,MA,Hampden County,EDT,America/New_York,"413, 860, 959",42.06,-72.41
1037,PO BOX,Hardwick,MA,Worcester County,EDT,America/New_York,"351, 413, 978",42.35,-72.2
1038,STANDARD,Hatfield,MA,Hampshire County,EDT,America/New_York,413,42.37,-72.6
1039,STANDARD,Haydenville,MA,Hampshire County,EDT,America/New_York,413,42.39,-72.7
1040,STANDARD,Holyoke,MA,Hampden County,EDT,America/New_York,413,42.21,-72.64
1041,PO BOX,Holyoke,MA,Hampden County,EDT,America/New_York,413,42.21,-72.64
1050,STANDARD,Huntington,MA,Hampshire County,EDT,America/New_York,413,42.23,-72.88
1053,STANDARD,Leeds,MA,Hampshire County,EDT,America/New_York,413,42.35,-72.71
1054,STANDARD,Leverett,MA,Franklin County,EDT,America/New_York,"351, 413, 978",42.45,-72.5
1056,STANDARD,Ludlow,MA,Hampden County,EDT,America/New_York,413,42.16,-72.48
1057,STANDARD,Monson,MA,Hampden County,EDT,America/New_York,"413, 860, 959",42.09,-72.31
1059,PO BOX,North Amherst,MA,Hampshire County,EDT,America/New_York,413,42.4,-72.52
1060,STANDARD,Northampton,MA,Hampshire County,EDT,America/New_York,413,42.32,-72.63
1061,PO BOX,Northampton,MA,Hampshire County,EDT,America/New_York,413,42.32,-72.67
1062,STANDARD,Florence,MA,Hampshire County,EDT,America/New_York,413,42.32,-72.67
1063,UNIQUE,Northampton,MA,Hampshire County,EDT,America/New_York,413,42.32,-72.64
1066,PO BOX,North Hatfield,MA,Hampshire County,EDT,America/New_York,413,42.41,-72.66
1068,STANDARD,Oakham,MA,Worcester County,EDT,America/New_York,"351, 508, 774, 978",42.35,-72.05
1069,STANDARD,Palmer,MA,Hampden County,EDT,America/New_York,413,42.16,-72.32
1070,STANDARD,Plainfield,MA,Hampshire County,EDT,America/New_York,413,42.51,-72.91
1071,STANDARD,Russell,MA,Hampden County,EDT,America/New_York,413,42.18,-72.85
1072,STANDARD,Shutesbury,MA,Franklin County,EDT,America/New_York,"351, 413, 978",42.45,-72.4
1073,STANDARD,Southampton,MA,Hampshire County,EDT,America/New_York,413,42.23,-72.73
1074,PO BOX,South Barre,MA,Worcester County,EDT,America/New_York,"351, 978",42.38,-72.1
1075,STANDARD,South Hadley,MA,Hampshire County,EDT,America/New_York,413,42.26,-72.56
1077,STANDARD,Southwick,MA,Hampden County,EDT,America/New_York,"413, 860, 959",42.05,-72.76
1079,PO BOX,Thorndike,MA,Hampden County,EDT,America/New_York,413,42.2,-72.33
1080,STANDARD,Three Rivers,MA,Hampden County,EDT,America/New_York,413,42.18,-72.37
1081,STANDARD,Wales,MA,Hampden County,EDT,America/New_York,"413, 860, 959",42.06,-72.21
1082,STANDARD,Ware,MA,Hampshire County,EDT,America/New_York,"351, 413, 508, 774, 978",42.25,-72.24
1083,PO BOX,Warren,MA,Worcester County,EDT,America/New_York,"413, 508, 774",42.21,-72.19
1084,STANDARD,West Chesterfield,MA,Hampshire County,EDT,America/New_York,413,42.39,-72.88
1085,STANDARD,Westfield,MA,Hampden County,EDT,America/New_York,413,42.13,-72.75
1086,PO BOX,Westfield,MA,Hampden County,EDT,America/New_York,413,42.13,-72.79
1088,STANDARD,West Hatfield,MA,Hampshire County,EDT,America/New_York,413,42.39,-72.64
1089,STANDARD,West Springfield,MA,Hampden County,EDT,America/New_York,413,42.12,-72.65
1090,PO BOX,West Springfield,MA,Hampden County,EDT,America/New_York,413,42.12,-72.65
1092,PO BOX,West Warren,MA,Worcester County,EDT,America/New_York,413,42.19,-72.24
1093,PO BOX,Whately,MA,Franklin County,EDT,America/New_York,413,42.44,-72.65
1094,PO BOX,Wheelwright,MA,Worcester County,EDT,America/New_York,"351, 413, 508, 774, 978",42.37,-72.14
1095,STANDARD,Wilbraham,MA,Hampden County,EDT,America/New_York,413,42.13,-72.43
1096,STANDARD,Williamsburg,MA,Hampshire County,EDT,America/New_York,413,42.4,-72.76
1097,PO BOX,Woronoco,MA,Hampden County,EDT,America/New_York,413,42.18,-72.83
1098,STANDARD,Worthington,MA,Hampshire County,EDT,America/New_York,413,42.41,-72.93
1101,PO BOX,Springfield,MA,Hampden County,EDT,America/New_York,413,42.11,-72.53
1102,PO BOX,Springfield,MA,Hampden County,EDT,America/New_York,413,42.11,-72.53
1103,STANDARD,Springfield,MA,Hampden County,EDT,America/New_York,413,42.1,-72.59
1104,STANDARD,Springfield,MA,Hampden County,EDT,America/New_York,413,42.13,-72.57
1105,STANDARD,Springfield,MA,Hampden County,EDT,America/New_York,413,42.1,-72.58
1106,STANDARD,Longmeadow,MA,Hampden County,EDT,America/New_York,"413, 860, 959",42.04,-72.57
1107,STANDARD,Springfield,MA,Hampden County,EDT,America/New_York,413,42.12,-72.61
1108,STANDARD,Springfield,MA,Hampden County,EDT,America/New_York,413,42.08,-72.56
1109,STANDARD,Springfield,MA,Hampden County,EDT,America/New_York,413,42.11,-72.53
1111,UNIQUE,Springfield,MA,Hampden County,EDT,America/New_York,413,42.11,-72.53
1115,PO BOX,Springfield,MA,Hampden County,EDT,America/New_York,413,42.11,-72.53
1116,PO BOX,Longmeadow,MA,Hampden County,EDT,America/New_York,413,42.04,-72.57
1118,STANDARD,Springfield,MA,Hampden County,EDT,America/New_York,413,42.09,-72.53
1119,STANDARD,Springfield,MA,Hampden County,EDT,America/New_York,413,42.12,-72.51
1128,STANDARD,Springfield,MA,Hampden County,EDT,America/New_York,413,42.09,-72.49
1129,STANDARD,Springfield,MA,Hampden County,EDT,America/New_York,413,42.12,-72.49
1133,UNIQUE,Springfield,MA,Hampden County,EDT,America/New_York,413,42.1,-72.59
1138,PO BOX,Springfield,MA,Hampden County,EDT,America/New_York,413,42.11,-72.53
1139,PO BOX,Springfield,MA,Hampden County,EDT,America/New_York,413,42.11,-72.53
1144,STANDARD,Springfield,MA,Hampden County,EDT,America/New_York,413,42.1,-72.59
1151,STANDARD,Indian Orchard,MA,Hampden County,EDT,America/New_York,413,42.15,-72.51
1152,STANDARD,Springfield,MA,Hampden County,EDT,America/New_York,413,42.11,-72.53
1195,STANDARD,Springfield,MA,Hampden County,EDT,America/New_York,413,42.1,-72.58
1199,UNIQUE,Springfield,MA,Hampden County,EDT,America/New_York,413,42.12,-72.6
1201,STANDARD,Pittsfield,MA,Berkshire County,EDT,America/New_York,"413, 518, 838",42.45,-73.26
1202,PO BOX,Pittsfield,MA,Berkshire County,EDT,America/New_York,413,42.45,-73.26
1203,PO BOX,Pittsfield,MA,Berkshire County,EDT,America/New_York,413,42.45,-73.26
1220,STANDARD,Adams,MA,Berkshire County,EDT,America/New_York,413,42.62,-73.11
1222,STANDARD,Ashley Falls,MA,Berkshire County,EDT,America/New_York,"413, 860, 959",42.05,-73.33
1223,STANDARD,Becket,MA,Berkshire County,EDT,America/New_York,413,42.33,-73.07
1224,STANDARD,Berkshire,MA,Berkshire County,EDT,America/New_York,413,42.5,-73.2
1225,STANDARD,Cheshire,MA,Berkshire County,EDT,America/New_York,413,42.55,-73.15
1226,STANDARD,Dalton,MA,Berkshire County,EDT,America/New_York,413,42.47,-73.16
1227,PO BOX,Dalton,MA,Berkshire County,EDT,America/New_York,413,42.47,-73.16
1229,PO BOX,Glendale,MA,Berkshire County,EDT,America/New_York,413,42.28,-73.34
1230,STANDARD,Great Barrington,MA,Berkshire County,EDT,America/New_York,"413, 518, 838",42.19,-73.35
1235,STANDARD,Hinsdale,MA,Berkshire County,EDT,America/New_York,413,42.42,-73.07
1236,STANDARD,Housatonic,MA,Berkshire County,EDT,America/New_York,413,42.27,-73.38
1237,STANDARD,Lanesborough,MA,Berkshire County,EDT,America/New_York,"413, 518, 838",42.51,-73.22
1238,STANDARD,Lee,MA,Berkshire County,EDT,America/New_York,413,42.3,-73.25
1240,STANDARD,Lenox,MA,Berkshire County,EDT,America/New_York,413,42.35,-73.28
1242,PO BOX,Lenox Dale,MA,Berkshire County,EDT,America/New_York,413,42.33,-73.25
1243,PO BOX,Middlefield,MA,Hampshire County,EDT,America/New_York,413,42.35,-73.01
1244,PO BOX,Mill River,MA,Berkshire County,EDT,America/New_York,413,42.12,-73.26
