CountyTimeZone,TimeZone
America/New_York,EDT
America/Detroit,EDT
America/Kentucky/Louisville,EDT
America/Kentucky/Monticello,EDT
America/Indiana/Indianapolis,EDT
America/Indiana/Vincennes,EDT
America/Indiana/Winamac,EDT
America/Indiana/Marengo,EDT
America/Indiana/Petersburg,EDT
America/Indiana/Vevay,EDT
America/Chicago,CDT
America/Indiana/Tell_City,CDT
America/Indiana/Knox,CDT
America/Menominee,CDT
America/North_Dakota/Center,CDT
America/North_Dakota/New_Salem,CDT
America/North_Dakota/Beulah,CDT
America/Denver,MDT
America/Boise,MDT
America/Phoenix,MDT
America/Los_Angeles,PDT
America/Anchorage,AKDT
America/Juneau,AKDT
America/Sitka,AKDT
America/Metlakatla,AKDT
America/Yakutat,AKDT
America/Nome,AKDT
America/Adak,AKDT
Pacific/Honolulu,HDT
